word	label
虎着脸	uw
怀恨	uw
怀恨在心	uw
怀疑	uw
坏情	uw
患	uw
慌恐	uw
惶	uw
惶惶	uw
惶惶不安	uw
惶惶不可终日	uw
惶惶然	uw
惶惑	uw
惶惧	uw
惶恐	uw
惶恐不安	uw
惶然	uw
惶然不安	uw
惶悚	uw
惶遽	uw
灰心	uw
灰心丧气	uw
悔	uw
悔不当初	uw
悔不该	uw
悔恨	uw
悔悟	uw
悔之不及	uw
悔之晚矣	uw
悔之无及	uw
魂不附体	uw
魂飞魄散	uw
魂飞天外	uw
火急火燎	uw
火冒三丈	uw
火烧火燎	uw
火头上	uw
饥不择食	uw
激愤	uw
讥嘲	uw
讥刺	uw
讥讽	uw
讥讪	uw
讥诮	uw
鸡蛋里挑骨头	uw
极度悲哀	uw
极度悲伤	uw
急	uw
急巴巴	uw
急急巴巴	uw
急死	uw
急眼	uw
疾	uw
嫉恨	uw
悸栗	uw
忌	uw
忌惮	uw
忌恨	uw
见怪	uw
见罪	uw
将信将疑	uw
焦愁	uw
焦急	uw
焦虑	uw
焦心	uw
焦炙	uw
焦灼	uw
教训	uw
叫苦	uw
叫苦不迭	uw
叫苦连天	uw
叫骂	uw
叫嚣	uw
借古讽今	uw
介怀	uw
介意	uw
进退两难	uw
进退维谷	uw
惊	uw
惊怖	uw
惊诧	uw
惊呆	uw
惊怪	uw
惊骇	uw
惊慌	uw
惊慌失措	uw
惊惶	uw
惊惧	uw
惊恐	uw
惊怕	uw
惊讶	uw
惊疑	uw
惊异	uw
惊悚	uw
惊愕	uw
揪心	uw
疚愧	uw
拘束	uw
举棋不定	uw
沮	uw
沮丧	uw
惧	uw
惧怕	uw
绝望	uw
看扁	uw
看不惯	uw
看不开	uw
看不起	uw
看不上	uw
看不上眼	uw
看不顺眼	uw
看低	uw
看轻	uw
抗议	uw
苛察	uw
苛责	uw
可惜	uw
恐	uw
恐慌	uw
恐惧	uw
口诛笔伐	uw
哭丧着脸	uw
哭笑不得	uw
苦闷	uw
苦恼	uw
狂怒	uw
亏心	uw
愧	uw
愧对	uw
愧汗	uw
愧恨	uw
愧悔	uw
愧疚	uw
愧怍	uw
愧恧	uw
愧赧	uw
困迫	uw
拉不下脸	uw
拉不下脸来	uw
拉长个脸	uw
拉下脸	uw
拉下脸来	uw
来火	uw
来气	uw
懒得	uw
老羞成怒	uw
冷嘲热讽	uw
脸红脖子粗	uw
脸红耳热	uw
脸皮薄	uw
脸上下不来	uw
两难	uw
亮红灯	uw
虑	uw
乱了方寸	uw
骂	uw
骂不绝口	uw
骂大街	uw
骂得狗血淋头	uw
骂得狗血喷头	uw
骂街	uw
骂骂咧咧	uw
骂娘	uw
骂人	uw
埋没	uw
埋怨	uw
满不在乎	uw
满脸愁雾	uw
漫骂	uw
谩骂	uw
毛骨悚然	uw
冒火	uw
没个好脸	uw
没精打采	uw
没有好脸	uw
闷沉沉	uw
闷闷	uw
闷闷不乐	uw
闷郁	uw
面斥	uw
面带怒色	uw
面带嗔色	uw
面面相觑	uw
面如死灰	uw
面如土色	uw
面无人色	uw
面有愧色	uw
面有难色	uw
面有愠色	uw
藐视	uw
蔑	uw
蔑视	uw
民怨沸腾	uw
鸣不平	uw
鸣冤叫屈	uw
摸不准	uw
磨不开	uw
抹不开	uw
漠然视之	uw
漠然置之	uw
漠视	uw
木然	uw
目瞪口呆	uw
纳罕	uw
难过	uw
难堪	uw
难受	uw
难为情	uw
恼	uw
恼恨	uw
恼火	uw
恼怒	uw
恼羞成怒	uw
闹脾气	uw
闹情绪	uw
闹性子	uw
馁	uw
内疚	uw
腻烦	uw
腻歪	uw
腻味	uw
捏把汗	uw
捏一把汗	uw
怒	uw
怒不可遏	uw
怒斥	uw
怒冲冲	uw
怒发冲冠	uw
怒喝	uw
怒火冲天	uw
怒火中烧	uw
怒骂	uw
怒目	uw
怒气冲冲	uw
怒气冲天	uw
怒形于色	uw
怒叱	uw
怕	uw
怕生	uw
怕羞	uw
拍案而起	uw
派不是	uw
旁敲侧击	uw
抨	uw
抨击	uw
批斗	uw
皮里阳秋	uw
屁滚尿流	uw
偏废	uw
品头论足	uw
评头论足	uw
评头品足	uw
颇有微词	uw
破口大骂	uw
魄散魂飞	uw
迫不及待	uw
戚戚	uw
戚然	uw
七窍生烟	uw
凄惶	uw
凄切	uw
凄然	uw
凄酸	uw
凄怨	uw
凄恻	uw
歧视	uw
骑虎难下	uw
起疑心	uw
气	uw
气昂昂	uw
气不忿	uw
气不过	uw
气不平	uw
气冲冲	uw
气冲牛斗	uw
气短	uw
气忿	uw
气忿忿	uw
气愤	uw
气愤愤	uw
气鼓鼓	uw
气狠狠	uw
气哼哼	uw
气呼呼	uw
气乎乎	uw
气急败坏	uw
气恼	uw
气馁	uw
气头上	uw
气汹汹	uw
迁怒	uw
谴	uw
谴责	uw
歉然	uw
歉甚	uw
瞧不起	uw
瞧不上	uw
瞧不上眼	uw
切齿	uw
切齿痛恨	uw
怯阵	uw
轻忽	uw
轻看	uw
轻蔑	uw
轻视	uw
清算	uw
穷极无聊	uw
饶人	uw
惹气	uw
人身攻击	uw
柔肠百结	uw
柔肠寸断	uw
如泣如诉	uw
如丧考妣	uw
如鲠在喉	uw
辱骂	uw
撒气	uw
三心二意	uw
丧胆	uw
丧魂落魄	uw
丧气	uw
丧志	uw
扫兴	uw
杀气	uw
傻眼	uw
伤	uw
伤悲	uw
伤怀	uw
伤神	uw
伤心	uw
慑	uw
申斥	uw
申讨	uw
申饬	uw
深恶痛绝	uw
深以为异	uw
声讨	uw
生恐	uw
生怕	uw
生气	uw
生疑	uw
失悔	uw
失节	uw
失望	uw
失意	uw
使性子	uw
示不满	uw
示不同意	uw
示怒	uw
势成骑虎	uw
视同儿戏	uw
视同蝼蚁	uw
首鼠两端	uw
受窘	uw
数落	uw
说风凉话	uw
说怪话	uw
酸楚	uw
缩头缩脑	uw
谈虎色变	uw
提心吊胆	uw
啼笑皆非	uw
天怒人怨	uw
挑刺儿	uw
挑毛病	uw
同病相怜	uw
同情	uw
痛	uw
痛不欲生	uw
痛斥	uw
痛恶	uw
痛恨	uw
痛骂	uw
痛惜	uw
痛心	uw
痛心疾首	uw
痛责	uw
投诉	uw
兔死狐悲	uw
颓靡	uw
颓然	uw
颓丧	uw
颓唐	uw
唾骂	uw
挖苦	uw
玩忽	uw
玩世不恭	uw
万箭穿心	uw
万念俱灰	uw
往心里去	uw
望而生畏	uw
微愠	uw
唯恐	uw
惟恐	uw
为难	uw
萎靡	uw
委决不下	uw
委靡	uw
委屈	uw
委罪	uw
畏	uw
畏忌	uw
畏惧	uw
畏葸	uw
闻风丧胆	uw
问心有愧	uw
窝火	uw
窝气	uw
无地自容	uw
无精打采	uw
无名火起	uw
无视	uw
无所谓	uw
物伤其类	uw
戏侮	uw
下不来台	uw
下不了台	uw
衔恨	uw
衔冤	uw
嫌	uw
嫌恶	uw
嫌弃	uw
嫌厌	uw
嫌憎	uw
想不开	uw
向隅而泣	uw
消沉	uw
小看	uw
小瞧	uw
小视	uw
泄劲	uw
泄气	uw
心胆俱裂	uw
心烦	uw
心烦意乱	uw
心寒	uw
心灰意懒	uw
心灰意冷	uw
心急	uw
心急火燎	uw
心急如焚	uw
心急如火	uw
心焦	uw
心焦如焚	uw
心惊胆颤	uw
心惊胆战	uw
心惊肉跳	uw
心里堵得慌	uw
心情沉重	uw
心如刀割	uw
心如刀绞	uw
心如死灰	uw
心酸	uw
心碎	uw
心疼	uw
心痛	uw
心虚	uw
心绪沉落	uw
心有余悸	uw
杏眼圆睁	uw
羞惭	uw
羞恶	uw
羞窘	uw
羞愧	uw
羞人	uw
羞于	uw
羞臊	uw
虚惊	uw
恤	uw
絮烦	uw
悬心	uw
训斥	uw
训戒	uw
训诫	uw
讶	uw
讶然	uw
讶然失色	uw
讶异	uw
厌	uw
厌恶	uw
厌烦	uw
厌恨	uw
厌倦	uw
厌腻	uw
厌气	uw
厌弃	uw
要紧	uw
一怒之下	uw
一气之下	uw
一怔	uw
遗憾	uw
疑忌	uw
疑虑	uw
疑虑重重	uw
疑神疑鬼	uw
抑郁	uw
抑郁寡欢	uw
义愤	uw
义愤填膺	uw
阴郁	uw
引咎	uw
引咎自责	uw
隐忧	uw
幽忧	uw
忧	uw
忧愁	uw
忧烦	uw
忧愤	uw
忧惧	uw
忧虑	uw
忧闷	uw
忧伤	uw
忧思	uw
忧心	uw
忧心如焚	uw
忧心忡忡	uw
忧郁	uw
忧怨	uw
忧悒	uw
犹疑	uw
犹豫	uw
油煎火燎	uw
游移	uw
有愧	uw
于心有愧	uw
郁闷	uw
郁郁不乐	uw
郁郁寡欢	uw
欲哭无泪	uw
怨	uw
怨恨	uw
怨悔	uw
怨声载道	uw
怨天尤人	uw
糟心	uw
责备	uw
责斥	uw
责怪	uw
责骂	uw
责难	uw
责怨	uw
憎	uw
憎恶	uw
憎恨	uw
咋舌	uw
瞻前顾后	uw
战兢兢	uw
战战兢兢	uw
张口结舌	uw
找茬	uw
找茬儿	uw
找碴	uw
找碴儿	uw
找岔子	uw
针砭	uw
震惊	uw
震怒	uw
震悚	uw
睁一眼闭一眼	uw
睁一只眼闭一只眼	uw
睁只眼闭只眼	uw
怔	uw
怔神儿	uw
怔怔	uw
怔住	uw
怔忪	uw
直眉瞪眼	uw
指斥	uw
指鸡骂狗	uw
指责	uw
指摘	uw
置疑	uw
置于脑后	uw
置之不顾	uw
置之不理	uw
置之度外	uw
置之脑后	uw
质疑	uw
滞呆	uw
周恤	uw
咒	uw
咒骂	uw
咒诅	uw
抓瞎	uw
椎心泣血	uw
追悔	uw
追悔莫及	uw
着急	uw
着忙	uw
自暴自弃	uw
自惭形秽	uw
自咎	uw
自疚	uw
自馁	uw
自怨自艾	uw
自责	uw
诅	uw
诅骂	uw
诅咒	uw
左右两难	uw
左右为难	uw
做贼心虚	uw
作难	uw
作色	uw
讪讪	uw
诃	uw
诘	uw
诟	uw
诟病	uw
诮	uw
诶	uw
谇	uw
谪	uw
矍	uw
菀	uw
葸	uw
奚落	uw
奚幸	uw
尴尬	uw
掊击	uw
叱	uw
叱骂	uw
叱责	uw
嗔	uw
嗔斥	uw
嗔怪	uw
嗔怒	uw
嗤之以鼻	uw
嘀咕	uw
彷徨	uw
忏	uw
忏悔	uw
怃	uw
怄	uw
怄气	uw
忡	uw
怅	uw
怅恨	uw
怅然	uw
怅然若失	uw
怅怅	uw
怅惘	uw
怆	uw
怆怳	uw
怆恍	uw
怆然	uw
怆恻	uw
忸怩	uw
怵	uw
怵然	uw
怵头	uw
怏然	uw
怏然不悦	uw
怏怏	uw
怏怏不乐	uw
怍	uw
怫	uw
怫然	uw
怫然不悦	uw
怫然作色	uw
恂	uw
悚	uw
悚然	uw
悒	uw
悒闷	uw
悒郁	uw
悒郁寡欢	uw
悒悒不乐	uw
悛	uw
悻然	uw
悻悻	uw
悻悻然	uw
惝恍	uw
惘	uw
惘然	uw
惘然若失	uw
惆	uw
惆怅	uw
愠	uw
愠怒	uw
愕	uw
愕然	uw
愣神儿	uw
愣怔	uw
愣怔怔	uw
愣住	uw
嬉笑怒骂	uw
槁木死灰	uw
殚	uw
轸	uw
戟指	uw
膈应	uw
恝置	uw
恚	uw
恚愤	uw
恚恨	uw
恚怒	uw
瞠目结舌	uw
瞠然	uw
詈	uw
詈骂	uw
踟	uw
踟躇	uw
踟蹰	uw
踟蹰不前	uw
蹰	uw
觖	uw
觖望	uw
訾议	uw
黯然神伤	uw
黯然销魂	uw
僄	uw
啰啰唆唆	uw
啰啰嗦嗦	uw
啰里啰唆	uw
啰里啰嗦	uw
啰唆	uw
啰嗦	uw
瘆	uw
瘆得慌	uw
哀鸿遍野	uw
碍难	uw
碍眼	uw
爱搭不理	uw
爱理不理	uw
暗沉沉	uw
暗淡	uw
暗地	uw
暗地里	uw
暗黑	uw
暗里	uw
暗昧	uw
暗弱	uw
暗无天日	uw
暗下	uw
暗中	uw
暗自	uw
暗朦	uw
岸然	uw
肮里肮脏	uw
肮脏	uw
昂贵	uw
凹凸	uw
凹凸不平	uw
傲慢	uw
八面玲珑	uw
跋扈	uw
霸道	uw
白痴般	uw
白搭	uw
白忙	uw
白忙活儿	uw
百孔千疮	uw
败坏	uw
板滞	uw
半半拉拉	uw
半路出家	uw
半新不旧	uw
半真半假	uw
薄情	uw
薄弱	uw
薄幸	uw
保残守缺	uw
抱残守缺	uw
暴	uw
暴烈	uw
暴虐	uw
暴躁	uw
暴戾	uw
暴戾恣睢	uw
爆炸性	uw
悲惨	uw
悲观	uw
悲观地	uw
悲剧	uw
悲凉	uw
卑	uw
卑鄙	uw
卑鄙无耻	uw
卑贱	uw
卑劣	uw
卑陋	uw
卑怯	uw
卑俗	uw
卑琐	uw
卑微	uw
卑污	uw
卑下	uw
卑猥	uw
背地	uw
背地里	uw
背悔	uw
背静	uw
背理	uw
背令	uw
背人	uw
背时	uw
本本主义	uw
笨	uw
笨手笨脚	uw
笨头笨脑	uw
笨重	uw
笨拙	uw
比肩接踵	uw
鄙吝	uw
鄙陋	uw
鄙俗	uw
鄙俚	uw
蔽塞	uw
闭塞	uw
必修	uw
变化不定	uw
变化多端	uw
变化万千	uw
变化无常	uw
变化无穷	uw
变幻不定	uw
变幻莫测	uw
变幻无常	uw
变态	uw
表里不一	uw
憋拗	uw
别别扭扭	uw
别扭	uw
别有用心	uw
冰炭不相容	uw
秉性剌戾	uw
病病歪歪	uw
病弱	uw
病态	uw
病歪歪	uw
病殃殃	uw
病恹恹	uw
波谲云诡	uw
驳杂	uw
捕风捉影	uw
不爱交际	uw
不便	uw
不辨菽麦	uw
不才	uw
不成材	uw
不成功	uw
不成话	uw
不成器	uw
不成熟	uw
不成体统	uw
不成样子	uw
不打紧	uw
不大重要	uw
不当	uw
不到黄河心不死	uw
不道德	uw
不得当	uw
不得劲	uw
不得体	uw
不登大雅之堂	uw
不端	uw
不对	uw
不对茬儿	uw
不对称	uw
不对付	uw
不对劲	uw
不对头	uw
不发达	uw
不法	uw
不方便	uw
不分青红皂白	uw
不分皂白	uw
不负责任	uw
不干不净	uw
不更事	uw
不公	uw
不公正	uw
不共戴天	uw
不够格	uw
不够完善	uw
不够意思	uw
不关痛痒	uw
不管三七二十一	uw
不管用	uw
不光彩	uw
不光明	uw
不规则	uw
不轨	uw
不好吃	uw
不好看	uw
不好客	uw
不好卖	uw
不好使	uw
不好听	uw
不好用	uw
不和	uw
不和蔼	uw
不和谐	uw
不合法	uw
不合格	uw
不合理	uw
不合逻辑	uw
不合情理	uw
不合时令	uw
不合时宜	uw
不合适	uw
不合算	uw
不合宜	uw
不合语法	uw
不划算	uw
不济	uw
不济事	uw
不俭省	uw
不健康	uw
不洁	uw
不谨慎	uw
不近情理	uw
不近人情	uw
不尽	uw
不尽如人意	uw
不精确	uw
不敬	uw
不绝如缕	uw
不均匀	uw
不开化	uw
不科学	uw
不可爱	uw
不可补救	uw
不可读	uw
不可行	uw
不可一世	uw
不可逾越	uw
不客气	uw
不宽容	uw
不郎不秀	uw
不冷不热	uw
不理智	uw
不礼貌	uw
不利	uw
不利于健康	uw
不力	uw
不良	uw
不灵敏	uw
不灵巧	uw
不流行	uw
不伦不类	uw
不美观	uw
不妙	uw
不民主	uw
不明不白	uw
不明显	uw
不明智	uw
不名一文	uw
不名誉	uw
不能解救	uw
不能容忍	uw
不宁	uw
不努力	uw
不平等	uw
不平衡	uw
不起眼	uw
不起眼儿	uw
不巧	uw
不切实际	uw
不清不白	uw
不清不楚	uw
不清楚	uw
不清洁	uw
不确切	uw
不仁	uw
不仁不义	uw
不人道	uw
不三不四	uw
不善	uw
不慎	uw
不胜	uw
不适当	uw
不适宜	uw
不适应	uw
不适于居住	uw
不受欢迎	uw
不熟练	uw
不疼不痒	uw
不体面	uw
不痛不痒	uw
不透明	uw
不透气	uw
不妥	uw
不为人知	uw
不卫生	uw
不文明	uw
不文雅	uw
不稳定	uw
不显眼	uw
不现实	uw
不相适应	uw
不祥	uw
不详	uw
不详尽	uw
不像话	uw
不消化	uw
不孝	uw
不肖	uw
不协调	uw
不兴	uw
不行	uw
不幸	uw
不修边幅	uw
不学无术	uw
不逊	uw
不雅	uw
不雅观	uw
不雅致	uw
不宜	uw
不宜居住	uw
不宜说出口	uw
不易	uw
不友好	uw
不友善	uw
不择手段	uw
不真诚	uw
不真实	uw
不贞洁	uw
不正常	uw
不正当	uw
不正派	uw
不正直	uw
不值得羡慕	uw
不值一文	uw
不中用	uw
不重要	uw
不周	uw
不周到	uw
不注意	uw
不着边际	uw
不着调	uw
不足道	uw
不足挂齿	uw
不足轻重	uw
不足取	uw
不足为外人道	uw
不足为训	uw
不稂不莠	uw
不虔诚	uw
才疏学浅	uw
财迷心窍	uw
残	uw
残败	uw
残暴	uw
残毒	uw
残酷	uw
残酷无情	uw
残虐	uw
残破	uw
残破不全	uw
残缺	uw
残缺不全	uw
残忍	uw
残损	uw
惨	uw
惨不忍睹	uw
惨淡	uw
惨毒	uw
惨绝人寰	uw
惨苦	uw
惨厉	uw
惨烈	uw
惨无人道	uw
苍白	uw
苍白无力	uw
苍凉	uw
草率	uw
草木皆兵	uw
差	uw
差点儿	uw
差劲	uw
差可	uw
豺狼成性	uw
豺狼当道	uw
缠手	uw
颤颤巍巍	uw
颤颤悠悠	uw
颤巍巍	uw
猖	uw
猖狂	uw
长长短短	uw
长篇大论	uw
长篇累牍	uw
超标	uw
超重	uw
朝不保夕	uw
朝不谋夕	uw
朝秦暮楚	uw
朝三暮四	uw
吵吵闹闹	uw
吵人	uw
沉滞	uw
陈腐	uw
陈旧	uw
成事不足，败事有余	uw
逞性	uw
逞性子	uw
吃不开	uw
吃劲	uw
吃力	uw
吃重	uw
痴	uw
痴痴	uw
痴呆	uw
痴呆呆	uw
痴傻	uw
痴愚	uw
迟钝	uw
侈	uw
侈靡	uw
侈糜	uw
赤地千里	uw
赤裸裸淫秽	uw
赤贫	uw
充满危机	uw
冲昏头脑	uw
丑	uw
丑恶	uw
丑陋	uw
臭	uw
臭不可闻	uw
臭哄哄	uw
臭烘烘	uw
臭名远扬	uw
臭名昭彰	uw
臭名昭著	uw
臭气冲天	uw
臭气熏天	uw
臭味	uw
触目惊心	uw
穿不出去	uw
穿不得	uw
串秧儿	uw
疮痍满目	uw
蠢	uw
蠢笨	uw
蠢头蠢脑	uw
刺鼻	uw
刺耳	uw
刺眼	uw
次等	uw
粗暴	uw
粗笨	uw
粗鄙	uw
粗糙	uw
粗放	uw
粗拉	uw
粗里粗气	uw
粗劣	uw
粗陋	uw
粗鲁	uw
粗率	uw
粗蛮	uw
粗莽	uw
粗浅	uw
粗涩	uw
粗手笨脚	uw
粗疏	uw
粗俗	uw
粗线条	uw
粗心	uw
粗心大意	uw
粗野	uw
粗枝大叶	uw
粗制滥造	uw
粗重	uw
粗拙	uw
粗犷	uw
促狭	uw
脆弱	uw
村气	uw
村野	uw
寸草不生	uw
错	uw
错乱	uw
错误	uw
错误百出	uw
错杂	uw
错综	uw
错综复杂	uw
大错而特错	uw
大错特错	uw
大大咧咧	uw
大而笨拙	uw
大而化之	uw
大而无当	uw
大海捞针	uw
大谬不然	uw
大手大脚	uw
大肆	uw
大摇大摆	uw
大意	uw
大咧咧	uw
呆板	uw
呆笨	uw
呆痴	uw
呆呆	uw
呆钝	uw
呆气	uw
呆傻	uw
呆头呆脑	uw
歹	uw
歹毒	uw
带有敌意	uw
殆	uw
怠惰	uw
单调	uw
单调枯燥	uw
单弱	uw
胆怯	uw
胆小	uw
胆小怕事	uw
胆小如鼠	uw
淡而无味	uw
淡漠	uw
刀光剑影	uw
蹈常袭故	uw
倒胃口	uw
道德败坏	uw
道貌岸然	uw
得寸进尺	uw
得陇望蜀	uw
得鱼忘筌	uw
灯红酒绿	uw
等而下之	uw
等因奉此	uw
低卑	uw
低标准	uw
低层	uw
低档	uw
低等	uw
低端	uw
低级	uw
低贱	uw
低劣	uw
低迷	uw
低能	uw
低人一等	uw
低三下四	uw
低声下气	uw
低俗	uw
低下	uw
低效	uw
低效能	uw
低值	uw
低智	uw
低质	uw
敌对	uw
地位低下	uw
地下	uw
地狱般	uw
颠倒	uw
颠连	uw
颠三倒四	uw
凋敝	uw
刁	uw
刁恶	uw
刁悍	uw
刁滑	uw
刁赖	uw
刁蛮	uw
刁钻	uw
刁钻古怪	uw
吊儿郎当	uw
鼎沸	uw
丢魂	uw
丢脸	uw
丢三落四	uw
东倒西歪	uw
动荡	uw
动荡不安	uw
动魄惊心	uw
动作迟顿	uw
毒	uw
毒辣	uw
独裁	uw
独断	uw
度量小	uw
短浅	uw
短视	uw
钝	uw
多变	uw
多病	uw
多事	uw
多余	uw
惰	uw
惰性	uw
讹	uw
恶毒	uw
恶贯满盈	uw
恶狠狠	uw
恶劣	uw
恶煞煞	uw
恶心	uw
恶浊	uw
饿殍遍野	uw
二五眼	uw
发狂	uw
发腻	uw
发育不全	uw
乏味	uw
翻手为云，覆手为雨	uw
翻云覆雨	uw
繁复	uw
繁乱	uw
繁难	uw
繁冗	uw
繁琐	uw
繁芜	uw
繁杂	uw
繁重	uw
繁缛	uw
烦难	uw
烦冗	uw
烦琐	uw
烦嚣	uw
反常	uw
反反复复	uw
反复无常	uw
反面	uw
反叛	uw
反社会	uw
犯有罪行	uw
饭桶	uw
泛泛	uw
放诞	uw
放荡	uw
放荡不羁	uw
放浪	uw
放肆	uw
放纵	uw
菲薄	uw
非法	uw
非分	uw
非婚生	uw
非礼	uw
非人	uw
非生产性	uw
非正常	uw
非正统	uw
非正义	uw
废	uw
废弛	uw
废旧	uw
废物	uw
沸沸扬扬	uw
费工夫	uw
费功夫	uw
费劲	uw
费力	uw
费时	uw
费事	uw
纷繁	uw
纷乱	uw
纷扰	uw
纷杂	uw
封建	uw
风声鹤唳	uw
风雨飘摇	uw
疯疯癫癫	uw
疯狂	uw
疯狂般	uw
疯癫癫	uw
否定	uw
肤泛	uw
肤皮潦草	uw
肤浅	uw
浮泛	uw
浮皮蹭痒	uw
浮漂	uw
浮浅	uw
浮躁	uw
浮噪	uw
腐败	uw
腐败堕落	uw
腐臭	uw
腐恶	uw
腐化	uw
腐化堕落	uw
腐旧	uw
腐烂	uw
腐朽	uw
腐朽没落	uw
覆雨翻云	uw
复杂	uw
复杂多变	uw
负面	uw
该死	uw
干巴	uw
干巴巴	uw
干瘪	uw
干瘪瘪	uw
干干巴巴	uw
干燥	uw
赶尽杀绝	uw
刚愎	uw
刚愎自用	uw
高昂	uw
高傲	uw
高不成，低不就	uw
