word;weight
祈盼;1.0
起敬;1.0
企慕;1.0
企盼;1.0
企望;1.0
器重;1.0
牵肠挂肚;-1.0
牵挂;-1.0
千恩万谢;1.0
瞧得起;1.0
瞧得上眼;1.0
翘盼;1.0
翘企;1.0
翘望;1.0
钦佩;1.0
亲热;1.0
亲热亲热;1.0
倾慕;1.0
倾向;1.0
情有独钟;1.0
情愿;1.0
庆贺;1.0
庆幸;1.0
庆祝;1.0
饶有兴趣;1.0
人心大快;1.0
认可;1.0
日有所思;1.0
如痴如狂;1.0
如痴如醉;1.0
如获至宝;1.0
如意;1.0
如愿以偿;1.0
如醉如痴;1.0
赏识;1.0
烧高香;1.0
奢望;1.0
神魂颠倒;1.0
神往;1.0
甚感欢慰;1.0
盛赞;1.0
十分满意;1.0
示好;1.0
示同意;1.0
示喜;1.0
释放善意;1.0
手舞足蹈;1.0
属望;1.0
属意;1.0
树碑立传;1.0
爽心;1.0
爽怡;1.0
说好话;1.0
说妥;1.0
思恋;1.0
思慕;1.0
思念;1.0
松心;1.0
颂扬;1.0
颂赞;1.0
随心;1.0
遂心;1.0
遂意;1.0
抬爱;1.0
抬举;1.0
叹服;1.0
叹赏;1.0
叹为观止;1.0
叹羡;1.0
陶然;1.0
陶陶;1.0
陶醉;1.0
特许;1.0
疼爱;1.0
疼惜;1.0
挑眼;1.0
通融;1.0
吐气扬眉;1.0
推崇;1.0
推戴;1.0
推许;1.0
推重;1.0
推尊;1.0
问心无愧;1.0
无愧;1.0
稀罕;-1.0
希罕;1.0
希冀;1.0
希图;1.0
喜;1.0
喜爱;1.0
喜不自禁;1.0
喜不自胜;1.0
喜冲冲;1.0
喜出望外;1.0
喜好;1.0
喜欢;1.0
喜乐;1.0
喜眉笑眼;1.0
喜气洋洋;1.0
喜上眉梢;1.0
喜上心头;1.0
喜兴;1.0
喜形于色;1.0
喜幸;1.0
喜洋洋;1.0
喜吟吟;1.0
喜盈盈;1.0
喜悦;1.0
喜滋滋;1.0
喜孜孜;1.0
显扬;1.0
羡慕;-1.0
想念;1.0
想望;1.0
向往;1.0
销魂;1.0
消魂;1.0
孝敬;1.0
孝顺;1.0
谢;1.0
谢天谢地;1.0
谢谢;1.0
欣;1.0
欣赏;1.0
欣慰;1.0
欣喜;1.0
欣喜若狂;1.0
欣羡;1.0
欣幸;1.0
心驰神往;1.0
心荡神驰;1.0
心甘;1.0
心甘情愿;-1.0
心花怒放;1.0
心旷神怡;1.0
心满意足;1.0
心疼;-1.0
心向;1.0
心醉;1.0
兴高采烈;1.0
艳羡;1.0
扬眉吐气;1.0
仰慕;1.0
一往情深;1.0
依依不舍;1.0
依允;1.0
以期;1.0
以求;1.0
意欲;1.0
溢美;1.0
拥戴;1.0
拥护;1.0
咏赞;1.0
用心良苦;-1.0
有心;1.0
有意;1.0
愉;1.0
愉快;1.0
愉悦;1.0
愿意;1.0
跃跃欲试;1.0
悦;1.0
悦服;1.0
在乎;1.0
在心;1.0
在意;1.0
赞;1.0
赞成;1.0
赞服;1.0
赞美;1.0
赞慕;1.0
赞佩;1.0
赞赏;1.0
赞颂;1.0
赞叹;1.0
赞同;1.0
赞羡;1.0
赞许;1.0
赞扬;1.0
赞誉;1.0
折服;1.0
珍爱;1.0
珍视;1.0
珍惜;1.0
珍重;1.0
正中下怀;1.0
支持;1.0
知冷知热;1.0
知冷着热;1.0
知足;1.0
挚爱;1.0
致贺;1.0
致敬;1.0
致谢;1.0
中意;1.0
钟爱;1.0
钟情;1.0
重视;1.0
重在;1.0
瞩目;1.0
瞩望;1.0
注重;1.0
祝;1.0
祝福;1.0
祝贺;1.0
祝颂;1.0
祝愿;1.0
着迷;1.0
着想;1.0
着眼;1.0
着眼于;1.0
自得;1.0
自得其乐;1.0
自告奋勇;1.0
自认;-1.0
自足;1.0
醉心;1.0
尊崇;1.0
尊重;1.0
揄扬;1.0
啧啧称羡;1.0
啧啧称赞;1.0
怡然自得;1.0
惬意;1.0
憧憬;1.0
犒劳;1.0
犒赏;1.0
歆慕;1.0
歆羡;1.0
鹄望;1.0
蔼蔼;1.0
蔼然;1.0
蔼然可亲;1.0
蔼如;1.0
安安静静;1.0
安安稳稳;1.0
安定;1.0
安顿;1.0
安分;1.0
安好;1.0
安静;1.0
安康;1.0
安澜;1.0
安乐;1.0
安宁;1.0
安全;1.0
安然;1.0
安然无事;1.0
安然无恙;1.0
安如磐石;1.0
安如泰山;1.0
安生;1.0
安适;1.0
安泰;1.0
安恬;1.0
安稳;1.0
安详;1.0
安逸;1.0
安谧;1.0
昂昂;1.0
昂藏;1.0
昂然;1.0
傲然;1.0
奥博;1.0
奥妙;1.0
拔尖;1.0
拔尖儿;1.0
拔俗;1.0
把稳;1.0
板实;1.0
板正;1.0
棒;1.0
磅礴;1.0
保存良好;1.0
饱学;1.0
宝;1.0
宝贵;1.0
倍儿棒;1.0
逼真;1.0
笔挺;1.0
笔直;1.0
毕恭毕敬;1.0
闭月羞花;1.0
必备;1.0
必不可少;1.0
必需;1.0
必要;1.0
鞭辟近里;1.0
鞭辟入里;1.0
便捷;1.0
便利;1.0
便民;1.0
便宜;1.0
变通;1.0
辩证;1.0
标致;1.0
标准;1.0
彪炳;1.0
彪炳千古;1.0
彪炳史册;1.0
彪形;1.0
彪壮;1.0
表里如一;1.0
表里一致;1.0
别具匠心;1.0
别具一格;1.0
别开生面;1.0
别有风味;1.0
别有情趣;1.0
彬彬;1.0
彬彬有礼;1.0
兵强马壮;1.0
冰肌玉骨;1.0
冰清玉洁;1.0
冰雪聪明;1.0
秉持公正;1.0
秉公;1.0
秉正;1.0
秉直;1.0
波光粼粼;1.0
波澜壮阔;1.0
博大;1.0
博大精深;1.0
博古通今;1.0
博识;1.0
博闻;1.0
博闻广识;1.0
博闻强记;1.0
博学;1.0
博学多才;1.0
博学多能;1.0
博学多闻;1.0
博雅;1.0
勃勃;1.0
勃勃生机;1.0
不卑不亢;1.0
不耻下问;1.0
不错;1.0
不大离儿;1.0
不惮其烦;1.0
不动摇;1.0
不费吹灰之力;1.0
不费力;1.0
不苟;1.0
不苟言笑;1.0
不含糊;1.0
不会腐败;1.0
不会弄错;1.0
不加区别;1.0
不加掩饰;1.0
不加渲染;1.0
不简单;1.0
不骄不躁;1.0
不咎既往;1.0
不亢不卑;1.0
不可或缺;1.0
不可缺;1.0
不可缺少;1.0
不赖;1.0
不离儿;1.0
不落俗套;1.0
不落窠臼;1.0
不难;1.0
不偏不倚;1.0
不屈;1.0
不屈不挠;1.0
不容怀疑;1.0
不容置辩;1.0
不容置疑;1.0
不俗;1.0
不同凡响;1.0
不同寻常;1.0
不为已甚;1.0
不畏艰险;1.0
不无道理;1.0
不无小补;1.0
不无裨益;1.0
不武断;1.0
不懈;1.0
不懈怠;1.0
不泄气;1.0
不言而喻;1.0
不厌其烦;1.0
不厌其详;1.0
不在话下;1.0
不争;1.0
不知疲倦;1.0
部优;1.0
才高八斗;1.0
才华横溢;1.0
才略过人;1.0
才气横溢;1.0
才思敏捷;1.0
财大气粗;1.0
灿;1.0
灿烂;1.0
灿烂夺目;1.0
灿亮;1.0
灿然;1.0
苍郁;1.0
缠绵;1.0
昌明;1.0
长治久安;1.0
敞亮;1.0
畅达;1.0
畅顺;1.0
超拔;1.0
超尘拔俗;1.0
超等;1.0
超凡入圣;1.0
超凡脱俗;1.0
超级;1.0
超绝;1.0
超群;1.0
超群绝伦;1.0
超俗;1.0
超俗绝世;1.0
超逸;1.0
超卓;1.0
朝气勃勃;1.0
朝气蓬勃;1.0
车水马龙;1.0
澈;1.0
沉寂;1.0
沉静;1.0
沉稳;1.0
沉毅;1.0
沉鱼落雁;1.0
沉着;1.0
成器;1.0
成趣;1.0
成熟;1.0
澄碧;1.0
澄澈;1.0
澄净;1.0
澄明;1.0
澄清;1.0
诚;1.0
诚恳;1.0
诚朴;1.0
诚实;1.0
诚心;1.0
诚心诚意;1.0
诚挚;1.0
诚笃;1.0
承平;1.0
吃得开;1.0
吃香;1.0
持正不阿;1.0
持之有故;1.0
持重;1.0
驰名;1.0
驰誉;1.0
赤忱;1.0
赤诚;1.0
赤胆;1.0
赤胆忠心;1.0
赤色;1.0
赤心;1.0
炽盛;1.0
崇高;1.0
初生牛犊般;1.0
出类拔萃;1.0
出色;1.0
出身高贵;1.0
出身名门;1.0
出神入化;1.0
出手不凡;1.0
出手大方;1.0
出以公心;1.0
出众;1.0
楚楚;1.0
楚楚动人;1.0
楚楚可怜;1.0
楚楚可人;1.0
传神;1.0
窗明几净;1.0
春光明媚;1.0
春秋鼎盛;1.0
春秋正富;1.0
春色满园;1.0
春意融融;1.0
醇;1.0
醇和;1.0
醇厚;1.0
醇美;1.0
醇浓;1.0
醇朴;1.0
醇香;1.0
唇红齿白;1.0
淳;1.0
淳厚;1.0
淳美;1.0
淳朴;1.0
纯;1.0
纯粹;1.0
纯厚;1.0
纯洁;1.0
纯净;1.0
纯朴;1.0
纯熟;1.0
纯一;1.0
纯真;1.0
纯正;1.0
纯挚;1.0
纯种;1.0
绰约;1.0
绰约多姿;1.0
慈;1.0
慈悲;1.0
慈悲为怀;1.0
慈善;1.0
慈祥;1.0
瓷实;1.0
刺眼;-1.0
聪慧;1.0
聪敏;1.0
聪明;1.0
聪明过人;1.0
聪明绝顶;1.0
聪明伶俐;1.0
聪悟;1.0
聪颖;1.0
葱葱;1.0
葱茂;1.0
葱郁;1.0
葱茏;1.0
粗豪;1.0
粗中有细;1.0
粗壮;1.0
粗犷;-1.0
簇新;1.0
催人奋进;1.0
脆亮;1.0
脆美;1.0
脆生;1.0
粹白;1.0
错落有致;1.0
达观;1.0
打心底里;1.0
打心眼儿里;1.0
打心眼里;1.0
打眼;1.0
大慈大悲;1.0
大大方方;1.0
大胆泼辣;1.0
大度;1.0
大而全;1.0
大方;1.0
大公无私;1.0
大好;1.0
大红大紫;1.0
大吉;1.0
大吉大利;1.0
大名鼎鼎;1.0
大无畏;1.0
大有文章;1.0
大有希望;1.0
大有益处;1.0
大有作为;1.0
大有裨益;1.0
带劲;1.0
单纯;1.0
单刀直入;1.0
单一;-1.0
淡泊;1.0
淡泊明志;1.0
淡泊名利;1.0
淡雅;1.0
当红;1.0
当仁不让;1.0
道不拾遗;1.0
道道地地;1.0
得当;1.0
得体;1.0
得天独厚;1.0
得心应手;1.0
得宜;1.0
灯火辉煌;1.0
灯火通明;1.0
登峰造极;1.0
低调;1.0
低价;1.0
低价位;1.0
低廉;-1.0
地道;1.0
第一流;1.0
典雅;1.0
跌荡;1.0
跌宕;1.0
叠翠;1.0
秾艳;1.0
丁是丁，卯是卯;1.0
顶刮刮;1.0
顶级;1.0
顶尖;1.0
顶事;1.0
顶数;1.0
顶天立地;1.0
顶用;1.0
顶呱呱;1.0
鼎鼎大名;1.0
懂礼;1.0
懂事;1.0
懂行;1.0
动人;1.0
动人心魄;1.0
动人心弦;1.0
动态各异;1.0
动态平衡;1.0
动听;1.0
豆腐心;1.0
逗人;1.0
独出心裁;1.0
独到;1.0
独具慧眼;1.0
独具匠心;1.0
独具特色;1.0
独具只眼;1.0
度量大;1.0
端端正正;1.0
端方;1.0
端静;1.0
端丽;1.0
端平;1.0
端秀;1.0
端雅;1.0
端整;1.0
端正;1.0
端直;1.0
端重;1.0
端庄;1.0
短小精悍;1.0
对劲儿;1.0
对头;1.0
对味儿;1.0
墩墩实实;1.0
敦敦实实;1.0
敦厚;1.0
敦实;1.0
多才多艺;1.0
多彩;1.0
多快好省;1.0
多劳多得;1.0
多情善感;1.0
多姿;1.0
多姿多采;1.0
夺目;1.0
恩爱;1.0
恩恩爱爱;1.0
耳聪目明;1.0
耳熟能详;1.0
耳闻目睹;1.0
尔雅;1.0
发人深省;1.0
发人深思;1.0
发自肺腑;1.0
翻天覆地;1.0
繁花似锦;1.0
繁华;1.0
繁茂;1.0
繁荣富强;1.0
繁盛;1.0
芳;1.0
芳香;1.0
方便;1.0
方方正正;1.0
方正;1.0
放之四海而皆准;1.0
菲菲;1.0
非常耐久;1.0
非常热心;1.0
非同小可;1.0
飞快;1.0
肥美;1.0
肥沃;1.0
匪夷所思;1.0
芬芳;1.0
芬芳袭人;1.0
芬芳馥郁;1.0
芬香;1.0
奋勇;1.0
丰茂;1.0
丰美;1.0
丰饶;1.0
丰润;1.0
丰实;1.0
丰沃;1.0
丰裕;1.0
丰姿绰约;1.0
丰腴;1.0
风度翩翩;1.0
风风光光;1.0
风风火火;1.0
风光;1.0
风光如画;1.0
风光旖旎;1.0
风华正茂;1.0
风景如画;1.0
风流倜傥;1.0
风靡;1.0
风平浪静;1.0
风起云涌;1.0
风趣;1.0
风行;1.0
风雅;1.0
风姿绰约;1.0
奉公守法;1.0
凤毛麟角;1.0
服服帖帖;1.0
服帖;1.0
福如东海;1.0
富;1.0
富贵;1.0
富甲一方;1.0
富可敌国;1.0
富丽;1.0
富丽堂皇;1.0
富饶;1.0
富实;1.0
富庶;1.0
富有;1.0
富有成果;1.0
富有成效;1.0
富有弹性;1.0
富裕;1.0
富足;1.0
干脆;1.0
干脆利落;1.0
干干净净;1.0
干净;1.0
干净利落;1.0
干练;1.0
甘醇;1.0
甘美;1.0
甘美多汁;1.0
甘甜;1.0
甘味;1.0
甘之如饴;1.0
肝胆过人;1.0
感人;1.0
刚健;1.0
刚劲;1.0
刚劲有力;1.0
刚强;1.0
刚毅;1.0
刚硬;1.0
刚正;1.0
刚正不阿;1.0
刚直;1.0
刚直不阿;1.0
钢铁;1.0
纲领性;1.0
高标号;1.0
高标准;1.0
高超;1.0
高纯;1.0
高大;1.0
高档;1.0
高档化;1.0
高等;1.0
高等级;1.0
高端;1.0
高风峻节;1.0
高风亮节;1.0
高高手儿;1.0
高贵;1.0
高级;1.0
高级化;1.0
高洁;1.0
高精度;1.0
高精尖;1.0
高妙;1.0
高明;1.0
高强;1.0
高强度;1.0
高山流水;1.0
高尚;1.0
高深;1.0
高深莫测;1.0
高屋建瓴;1.0
高效;1.0
高效能;1.0
高效益;1.0
高新;1.0
高性能;1.0
高雅;1.0
高雅简朴;1.0
高瞻远瞩;1.0
高质量;1.0
高姿态;1.0
膏腴;1.0
个性鲜明;1.0
各得其所;1.0
根深蒂固;1.0
根深柢固;1.0
更优越;1.0
耿耿;1.0
耿介不阿;1.0
耿直;1.0
梗直;1.0
工工整整;1.0
工巧;1.0
工稳;1.0
工细;1.0
工整;1.0
工致;1.0
功不可没;1.0
功德无量;1.0
恭恭敬敬;1.0
恭谨;1.0
恭顺;1.0
公道;1.0
公而忘私;1.0
公开;1.0
公平;1.0
公平正直;1.0
公允;1.0
公正;1.0
公正客观;1.0
够格;1.0
够水平;1.0
够味儿;1.0
够意思;1.0
鼓舞人心;1.0
古道热肠;1.0
古朴;1.0
古色古香;1.0
古香古色;1.0
固若金汤;1.0
乖;1.0
乖觉;1.0
乖巧;1.0
关键;1.0
关键性;1.0
管教好;1.0
管事;1.0
管事儿;1.0
管用;1.0
光彩;1.0
光彩夺目;1.0
光彩照人;1.0
光彩炫目;1.0
光灿;1.0
光灿灿;1.0
光风霁月;1.0
光辉;1.0
光辉灿烂;1.0
光洁;1.0
光可鉴人;1.0
光亮;1.0
光亮亮;1.0
光芒万丈;1.0
光明;1.0
光明磊落;1.0
光明正大;1.0
光荣;1.0
光润;1.0
光闪闪;1.0
光鲜;1.0
光艳;1.0
光耀;1.0
广远;1.0
瑰;1.0
瑰丽;1.0
瑰伟;1.0
瑰玮;1.0
规范;1.0
鬼斧神工;1.0
贵重;1.0
滚瓜烂熟;1.0
国色天香;1.0
国泰民安;1.0
果断;1.0
果敢;1.0
果决;1.0
过得硬;1.0
过谦;1.0
海枯石烂;1.0
憨厚;1.0
憨实;1.0
憨直;1.0
含情;1.0
含情脉脉;1.0
含蓄;1.0
涵蓄;1.0
豪放;1.0
豪放不羁;1.0
豪华;1.0
豪华型;1.0
豪迈;1.0
豪爽;1.0
豪壮;1.0
豪宕;1.0
毫不动摇;1.0
毫不费力;1.0
毫不利己;1.0
毫不畏惧;1.0
毫不犹豫;1.0
毫发不差;1.0
毫发不爽;1.0
毫发无损;1.0
毫厘不差;1.0
毫厘不爽;1.0
毫无保留地;1.0
毫无错误;1.0
毫无问题;1.0
毫无疑义;1.0
好办;1.0
好吃;1.0
好端端;1.0
好过;1.0
好好;1.0
好看;1.0
好客;1.0
好上加好;1.0
好声好气;1.0
好生生;1.0
好使;1.0
好受;1.0
好说话;1.0
好说话儿;1.0
好听;1.0
好玩;1.0
好玩儿;1.0
好笑;1.0
好心;1.0
好心肠;1.0
好心好意;1.0
好用;1.0
浩大;1.0
浩荡;1.0
浩然;1.0
和蔼;1.0
和蔼可亲;1.0
和畅;1.0
和风细雨;1.0
和和睦睦;1.0
和和气气;1.0
和缓;1.0
和睦;1.0
和平;1.0
和气;1.0
和洽;1.0
和软;1.0
和善;1.0
和声;1.0
和顺;1.0
和婉;1.0
和祥;1.0
和谐;1.0
和颜悦色;1.0
和易;1.0
和悦;1.0
合当;1.0
合度;1.0
合法;1.0
合格;1.0
合乎逻辑;1.0
合口;1.0
合口味;1.0
合理;1.0
合拍;1.0
合情合理;1.0
合情理;1.0
合群;1.0
合时;1.0
合适;1.0
合胃口;1.0
合宜;1.0
赫赫;1.0
赫赫有名;1.0
赫然;1.0
鹤发童颜;1.0
鹤立鸡群;1.0
黑白分明;1.0
很有抱负;1.0
很有意义;1.0
恒量;1.0
宏大;1.0
宏富;1.0
宏丽;1.0
宏赡;1.0
宏伟;1.0
弘大;1.0
红得发紫;1.0
红红火火;1.0
红火;1.0
红色;1.0
猴儿精;1.0
厚道;1.0
后生可畏;1.0
虎背熊腰;1.0
虎虎生气;1.0
花繁叶茂;1.0
花好月圆;1.0
花气袭人;1.0
花容玉貌;1.0
花容月貌;1.0
花团锦簇;1.0
花香鸟语;1.0
花样翻新;1.0
花枝招展;1.0
华;1.0
华贵;1.0
华丽;1.0
华美;1.0
滑润;1.0
滑爽;1.0
欢蹦乱跳;1.0
欢洽;1.0
欢实;1.0
煌煌;1.0
辉煌;1.0
回味无穷;1.0
慧;1.0
慧眼独具;1.0
绘声绘色;1.0
绘声绘影;1.0
绘影绘声;1.0
浑厚;1.0
浑金璞玉;1.0
浑朴;1.0
浑然;1.0
浑然一体;1.0
豁达;1.0
豁达大度;1.0
豁亮;1.0
豁然;1.0
活便;1.0
活泛;1.0
活灵活现;1.0
活络;1.0
活泼;1.0
活生生;1.0
活跃;1.0
货真价实;1.0
基础扎实;1.0
机警;1.0
机灵;1.0
机敏;1.0
机巧;1.0
机智;1.0
积极;1.0
激动人心;1.0
激进;1.0
鸡犬不惊;1.0
吉;1.0
吉利;1.0
吉庆;1.0
吉祥;1.0
吉祥如意;1.0
吉星高照;1.0
极好;1.0
极其流行;1.0
极神圣;1.0
急公好义;1.0
技高一筹;1.0
既往不咎;1.0
佳;1.0
佳丽;1.0
家给人足;1.0
家喻户晓;1.0
加意;1.0
甲等;1.0
甲级;1.0
价值连城;1.0
价值千金;1.0
驾轻就熟;1.0
坚不可摧;1.0
坚持不懈;1.0
坚持不渝;1.0
坚定;1.0
坚定不移;1.0
坚固;1.0
坚固耐用;1.0
坚强;1.0
坚强不屈;1.0
坚忍;1.0
坚忍不拔;1.0
坚韧;1.0
坚韧不拔;1.0
坚如磐石;1.0
坚实;1.0
坚挺;1.0
坚毅;1.0
坚贞;1.0
坚贞不屈;1.0
坚贞不渝;1.0
尖端;1.0
简便;1.0
简便易行;1.0
简单;1.0
简单化;1.0
简单明了;1.0
简单易行;1.0
简短;1.0
简洁;1.0
简练;1.0
简明;1.0
简明扼要;1.0
简朴;1.0
简要;1.0
简易;1.0
简约;1.0
俭朴;1.0
俭省;1.0
见多识广;1.0
见所未见;1.0
见微知萌;1.0
见微知著;1.0
健康;1.0
健康美;1.0
健朗;1.0
健美;1.0
健全;1.0
健实;1.0
健硕;1.0
健旺;1.0
健壮;1.0
奖罚分明;1.0
讲理;1.0
讲礼貌;1.0
匠心独具;1.0
娇;1.0
娇滴滴;1.0
娇好;1.0
娇丽;1.0
娇美;1.0
娇媚;1.0
娇柔;1.0
娇艳;1.0
娇娆;1.0
矫健;1.0
矫捷;1.0
脚踏实地;1.0
节俭;1.0
节节;1.0
节省;1.0
节约;1.0
杰出;1.0
竭诚;1.0
洁;1.0
洁净;1.0
结结实实;1.0
结实;1.0
结实粗壮;1.0
筋道;1.0
金碧辉煌;1.0
金壁辉煌;1.0
金不换;1.0
金城汤池;1.0
金风送爽;1.0
金贵;1.0
金玉;1.0
金玉满堂;1.0
紧要;1.0
锦簇花团;1.0
锦绣;1.0
谨慎;1.0
谨严;1.0
进步;1.0
尽人皆知;1.0
尽如人意;1.0
尽善尽美;1.0
尽心;1.0
尽心竭力;1.0
尽心尽力;1.0
兢兢业业;1.0
晶莹;1.0
晶莹剔透;1.0
精辟;1.0
精采;1.0
精彩;1.0
精彩纷呈;1.0
精诚;1.0
精粹;1.0
精打细算;1.0
精到;1.0
精雕细刻;1.0
精干;1.0
精光;1.0
精悍;1.0
精精神神;1.0
精力充沛;1.0
精练;1.0
精良;1.0
精灵;1.0
精美;1.0
精密;1.0
精妙;1.0
精明;1.0
精明强干;1.0
精巧;1.0
精确;1.0
精深;1.0
精神;1.0
精神百倍;1.0
精神饱满;1.0
精神抖擞;1.0
精神焕发;1.0
精神十足;1.0
精神矍铄;1.0
精卫填海;1.0
精细;1.0
精心;1.0
精选;1.0
精湛;1.0
精致;1.0
精制;1.0
精壮;1.0
精准;1.0
经济宽裕;1.0
经久耐用;1.0
经心;1.0
经验丰富;1.0
经用;1.0
井井有条;1.0
井然;1.0
井然有序;1.0
景气;1.0
景色优美;1.0
静寂;1.0
静穆;1.0
静悄;1.0
静悄悄;1.0
静态;1.0
静幽幽;1.0
静谧;1.0
炯炯;1.0
炯炯有神;1.0
举止大方;1.0
举止端庄;1.0
举止文雅;1.0
举足轻重;1.0
具有历史意义;1.0
具有吸引力;1.0
具有压倒性优势;1.0
俱佳;1.0
娟娟;1.0
娟秀;1.0
绝好;1.0
绝佳;1.0
绝了;1.0
绝妙;1.0
绝色;1.0
均衡;1.0
均一;1.0
均匀;1.0
俊;1.0
俊丽;1.0
俊美;1.0
俊俏;1.0
俊秀;1.0
开诚布公;1.0
开阔;1.0
开朗;1.0
开门见山;1.0
开明;1.0
慨然;-1.0
堪称第一;1.0
堪称一绝;1.0
康;1.0
康健;1.0
康乐;1.0
康泰;1.0
慷慨;1.0
靠得住;1.0
科学;1.0
可爱;1.0
可歌可泣;1.0
可观;1.0
可贵;1.0
可嘉;1.0
可敬;1.0
可靠;1.0
可口;1.0
可亲;1.0
可圈可点;1.0
可塑;1.0
可统一;1.0
可喜;1.0
